,Company,sector,annual_return_log,Std,Skewness,Kurtosis
170,EQR,Real Estate,-0.3614402388341093,0.5275020821637794,-0.21038346108362282,5.120165450761551
171,ESS,Real Estate,-0.2781388394493741,0.5277756856446257,-0.9462965421691042,7.781247619012165
172,EL,Consumer Staples,0.17458348757321088,0.42773156662144735,-0.8045055628488443,4.804257165326644
173,ETSY,Consumer Discretionary,1.431414109871232,0.7316049456434728,-0.3460646923217994,3.314894081228216
174,EVRG,Utilities,-0.2507673664021956,0.5143583095922821,-0.5611390227937906,9.236070103093766
175,ES,Utilities,-0.06000474451003582,0.4674675369507182,0.030556467927340583,7.089202375358594
176,RE,Financials,-0.19204477820282986,0.5171367655215177,-0.4702291617246102,3.6461303713555546
177,EXC,Utilities,-0.10983282190947237,0.5075955450577437,-0.007781881024683461,8.587581176341297
178,EXPE,Consumer Discretionary,0.1300779936743446,0.7351590285582387,-0.20477405128933254,6.530772697262819
179,EXPD,Industrials,0.27901208681288164,0.32509516788847626,-0.19923261745871415,8.57580448279695
180,EXR,Real Estate,0.04850285014534691,0.4328599727812394,-1.1278097825890354,6.8644761548188775
181,XOM,Energy,-0.43290136163259846,0.5488425169302141,0.0007965434903614273,2.230114364546706
182,FFIV,Information Technology,0.2750245681068869,0.42826481059547533,-0.1886194760021845,2.6614590594465044
183,FB,Communication Services,0.22563613830867818,0.4759778595736509,-0.4194551601513996,3.6904389300578213
184,FAST,Industrials,0.38776789901312325,0.4013301174751756,-0.05100533167742728,4.738889710599874
185,FRT,Real Estate,-0.42310315479446536,0.6932916157079201,0.1503410614439476,12.778473590038502
186,FDX,Industrials,0.6032103146083467,0.545270284377687,-0.47577505199499553,3.99409040362917
187,FIS,Information Technology,-0.046509424535316306,0.46620874771842497,-0.6452864069425868,9.725804303768193
188,FITB,Financials,-0.02322499249015165,0.7695856392383985,-0.5181733244255856,4.843707778812098
189,FE,Utilities,-0.4957672454550342,0.5674605718130727,-1.930039791174953,13.912674980363498
190,FRC,Financials,0.16741032438728803,0.4934852991491353,-0.37805241502495074,4.741422419697604
191,FISV,Information Technology,-0.07788404765886356,0.48898206278625395,-0.668126398670489,6.4746730873944305
192,FLT,Information Technology,-0.14214716186725715,0.5578988087830573,0.15921147218973442,2.819649261814086
193,FLIR,Information Technology,-0.28563294448119736,0.5960551280371165,-1.0410846300344025,8.1194394357162
194,FLS,Industrials,-0.2941223037967553,0.6637238581061242,-0.5829421583860933,2.4314664166758044
195,FMC,Materials,0.18888770064140242,0.5380309454015222,-0.9700525354444638,9.682637332809497
196,F,Consumer Discretionary,-0.012732613122416189,0.578515272159663,0.5278489237923671,5.287276449557224
197,FTNT,Information Technology,0.2388362840217149,0.5632549198115533,0.21584442638528173,6.759816253303738
198,FTV,Industrials,0.07200758739706271,0.47996968202144985,-0.3091591237247185,8.448435357711096
199,FBHS,Industrials,0.2804050589074781,0.5979529212725455,-0.4559389274917961,4.342592051194315
200,FOXA,Communication Services,-0.3564476370145538,0.506644794139255,-0.18591300862789403,1.773308313198851
201,FOX,Communication Services,-0.34769089914822604,0.4996482486761963,-0.21807912420090003,1.957416164196088
202,BEN,Financials,0.013357908906538284,0.5660863575977736,-0.5167676769609088,2.5735977173614497
203,FCX,Materials,0.7694311630985373,0.7345469694311139,-0.2422436320962582,6.484791941719884
204,GPS,Consumer Discretionary,0.1682682585817561,0.966402166382081,0.03621943102144722,3.1441912758496864
205,GRMN,Consumer Discretionary,0.20266345237525976,0.38850946094966227,-0.1474276196464325,2.7682055763111997
206,IT,Information Technology,-0.03303354065293831,0.5061402047819046,0.18204489157326592,4.867326862696637
207,GD,Industrials,-0.1939671458893237,0.41969607387560215,-0.4023148974894772,2.7343779174891765
208,GE,Industrials,-0.08039982467947814,0.6527422666191406,-0.1808392550678919,1.9978146563290649
209,GIS,Consumer Staples,0.11329348839540233,0.3193697778992794,-0.37773471361366856,9.885132637246958
210,GM,Consumer Discretionary,0.1898123867929307,0.6350802639928687,-0.4695832880333454,4.927480666686901
211,GPC,Consumer Discretionary,-0.010627223332780615,0.5344877864910166,0.14300964022151152,7.917059194779116
212,GILD,Health Care,-0.03081722227897897,0.38513511140870005,0.42869291293670303,2.420163974808162
213,GL,Financials,-0.12063318702016108,0.5524938619093847,-0.4476395975477569,4.180946007121079
214,GPN,Information Technology,0.015468181784769077,0.5662356610889963,-0.015635656391437942,9.60378115007008
215,GS,Financials,0.08304778557882236,0.5414073558535449,-0.13803974362168356,5.141730839803705
216,GWW,Industrials,0.2481946057839276,0.44115065898421973,-0.6128018862864268,6.930529504196754
217,HAL,Energy,-0.19509714905451722,1.013500977343923,-1.9516174067470857,14.48761376932119
218,HBI,Consumer Discretionary,0.069748772775382,0.6664134807108589,-0.20986837828877608,3.9543290239113764
219,HIG,Financials,-0.23290093015917818,0.679032615608532,-0.5254562084334171,11.589478346303896
